1752538178.3146808,"{'x': 0.015887280417431548, 'y': 0.014376923385097877, 'z': 0.018448951353788882}"
1752538178.3314521,"{'x': 0.015921183650434437, 'y': 0.014331149112734844, 'z': 0.018442457188293196}"
1752538178.3482208,"{'x': 0.016010288789358697, 'y': 0.014278501029982347, 'z': 0.018491867959037785}"
1752538178.365067,"{'x': 0.015962724893288417, 'y': 0.01434086840225629, 'z': 0.01831895769667326}"
1752538178.3818448,"{'x': 0.015942132655069746, 'y': 0.014280314554473693, 'z': 0.018352585832067933}"
1752538178.3986142,"{'x': 0.01594528774621272, 'y': 0.014310867561180704, 'z': 0.01836458095618292}"
1752538178.4153702,"{'x': 0.016159939204688348, 'y': 0.014103138626733885, 'z': 0.018458335658078646}"
1752538178.4321115,"{'x': 0.01609893572002088, 'y': 0.014167975398630727, 'z': 0.018337171274924784}"
1752538178.4488895,"{'x': 0.015972597795674094, 'y': 0.01432773294665774, 'z': 0.018339325827397425}"
1752538178.4656222,"{'x': 0.015987727713855572, 'y': 0.01418668447987156, 'z': 0.018306343093797472}"
1752538178.482369,"{'x': 0.0159609143412044, 'y': 0.014294367989127303, 'z': 0.018469397670969348}"
1752538178.499119,"{'x': 0.01599572863979781, 'y': 0.014181736175900244, 'z': 0.018339565573051733}"
1752538178.5158575,"{'x': 0.015914324169466167, 'y': 0.014316198364983225, 'z': 0.018309532584471024}"
1752538178.5327358,"{'x': 0.015990181124426715, 'y': 0.014391301414276171, 'z': 0.018381417301167942}"
1752538178.5495565,"{'x': 0.01603085085033527, 'y': 0.014108567224293246, 'z': 0.018363547351813433}"
1752538178.5662942,"{'x': 0.016118875178327108, 'y': 0.01397668332173145, 'z': 0.01835975362005563}"
1752538178.5830224,"{'x': 0.016021076514644992, 'y': 0.014138231777964999, 'z': 0.018414997058681704}"
1752538178.5997639,"{'x': 0.01596869030469027, 'y': 0.014167389203718114, 'z': 0.018325495165380727}"
1752538178.6165996,"{'x': 0.016146078666006508, 'y': 0.013998570552421161, 'z': 0.0184311022637501}"
1752538178.6333313,"{'x': 0.016198780704726225, 'y': 0.014211222935190001, 'z': 0.018615640596605296}"
1752538178.6500635,"{'x': 0.016037396710175688, 'y': 0.014055247919119577, 'z': 0.018343220510206697}"
1752538178.6667948,"{'x': 0.016006102815283762, 'y': 0.014082889179388438, 'z': 0.01832341233686789}"
1752538178.6835284,"{'x': 0.016068880835845293, 'y': 0.014148184149251217, 'z': 0.018404438421138883}"
1752538178.7002645,"{'x': 0.01589725511521399, 'y': 0.014306847521847786, 'z': 0.018379908463381615}"
1752538178.716998,"{'x': 0.015823587783802932, 'y': 0.01424618147304954, 'z': 0.018374556317218703}"
1752538178.7337244,"{'x': 0.01603848254503718, 'y': 0.014149579119931161, 'z': 0.018402587603856484}"
1752538178.7504468,"{'x': 0.01622113695061914, 'y': 0.013928332315004968, 'z': 0.018546710925049257}"
1752538178.7672007,"{'x': 0.016333242819612355, 'y': 0.014023106080855156, 'z': 0.018746249291288042}"
1752538178.7839227,"{'x': 0.0160335537270251, 'y': 0.014042416750268343, 'z': 0.018462712173237104}"
1752538178.8006456,"{'x': 0.01599147036066522, 'y': 0.014233170484279946, 'z': 0.018535467116349943}"
1752538178.817399,"{'x': 0.016176124616343494, 'y': 0.013975592642704236, 'z': 0.01858714202260527}"
1752538178.8341358,"{'x': 0.01623854622100841, 'y': 0.014196157172989811, 'z': 0.01861566441527835}"
1752538178.8508716,"{'x': 0.015955367211722048, 'y': 0.014369950699579652, 'z': 0.018486343873177796}"
1752538178.8676057,"{'x': 0.01598720002265912, 'y': 0.01428017593323737, 'z': 0.018506068023783174}"
1752538178.8843472,"{'x': 0.016001710465756366, 'y': 0.014234915394258092, 'z': 0.018563584868256287}"
1752538178.9011347,"{'x': 0.016093087330232105, 'y': 0.01416160320901485, 'z': 0.01858939857485327}"
1752538178.9178717,"{'x': 0.016036712648872697, 'y': 0.014229121244570672, 'z': 0.018543076725671914}"
1752538178.9346082,"{'x': 0.016147701541867145, 'y': 0.014063963048193349, 'z': 0.01850286005124715}"
1752538178.9513419,"{'x': 0.016160364197000246, 'y': 0.014058742506067427, 'z': 0.018617989838091344}"
1752538178.9680746,"{'x': 0.015966740498309935, 'y': 0.014167272036155257, 'z': 0.018521543409121308}"
1752538178.9848497,"{'x': 0.016037207169586756, 'y': 0.014114329638955958, 'z': 0.018379667263823243}"
1752538179.0015838,"{'x': 0.01592653220693733, 'y': 0.014278017052991638, 'z': 0.01838645804761464}"
1752538179.018333,"{'x': 0.015893966011971412, 'y': 0.014284622125780468, 'z': 0.01843795711424079}"
1752538179.0351093,"{'x': 0.016030485275917036, 'y': 0.014244316482056398, 'z': 0.018428049826808967}"
1752538179.0518453,"{'x': 0.01594957462765569, 'y': 0.01422072357132295, 'z': 0.018363248635630894}"
1752538179.068661,"{'x': 0.015947259598403075, 'y': 0.014270950578798092, 'z': 0.018330938197072967}"
1752538179.0854044,"{'x': 0.015893068499778708, 'y': 0.014301662312068107, 'z': 0.018414783566061677}"
1752538179.1021676,"{'x': 0.015889272291411276, 'y': 0.014321744169080018, 'z': 0.018460503830445535}"
1752538179.1189258,"{'x': 0.016062143333150133, 'y': 0.01415589787209157, 'z': 0.018470290456869373}"
1752538179.1356726,"{'x': 0.016026205831717082, 'y': 0.014081283698185672, 'z': 0.018454449757491206}"
1752538179.1524293,"{'x': 0.01592710719647534, 'y': 0.014156266913656033, 'z': 0.018364874580392616}"
1752538179.169163,"{'x': 0.015970328067752677, 'y': 0.0143286721361948, 'z': 0.01843808986297993}"
1752538179.185902,"{'x': 0.015971489400052212, 'y': 0.014188940765630249, 'z': 0.018419357890857257}"
1752538179.2027118,"{'x': 0.01591086475443686, 'y': 0.014109597987464575, 'z': 0.018367781555547313}"
1752538179.219475,"{'x': 0.016066887932044825, 'y': 0.013996468624867696, 'z': 0.01837552057792503}"
1752538179.2362313,"{'x': 0.01601655378827136, 'y': 0.01417342226785544, 'z': 0.01844445449804744}"
